id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2539,"Clean & quiet apt home by the park",2787,John,BROOKLYN,Kensington,40.647490,-73.972370,"Private room",149,1,9,2018-10-19,0.21,6,365
2595,"Skylit midtown castle",2845,Jennifer,MANHATTAN,Midtown,40.753620,-73.983770,"Entire home/apt",225,1,45,2019-05-21,0.38,2,355
3647,"The village of harlem....new york !",4632,Elisabeth,MANHATTAN,Harlem,40.809020,-73.941900,"Private room",150,3,0,2000-01-01,0.00,1,365
3831,"Cozy entire floor of brownstone",4869,Lisaroxanne,BROOKLYN,"Clinton hill",40.685140,-73.959760,"Entire home/apt",89,1,270,2019-07-05,4.64,1,194
5022,"Entire apt: spacious studio/loft by central park",7192,Laura,MANHATTAN,"East harlem",40.798510,-73.943990,"Entire home/apt",80,10,9,2018-11-19,0.10,1,0
5099,"Large cozy 1 br apartment in midtown east",7322,Chris,MANHATTAN,"Murray hill",40.747670,-73.975000,"Entire home/apt",200,3,74,2019-06-22,0.59,1,129
5121,Blissartsspace!,7356,Garon,BROOKLYN,Bedford-stuyvesant,40.686880,-73.955960,"Private room",60,45,49,2017-10-05,0.40,1,0
5178,"Large furnished room near b'way",8967,Shunichi,MANHATTAN,"Hell's kitchen",40.764890,-73.984930,"Private room",79,2,430,2019-06-24,3.47,1,220
5203,"Cozy clean guest room - family apt",7490,Maryellen,MANHATTAN,"Upper west side",40.801780,-73.967230,"Private room",79,2,118,2017-07-21,0.99,1,0
5238,"Cute & cozy lower east side 1 bdrm",7549,Ben,MANHATTAN,Chinatown,40.713440,-73.990370,"Entire home/apt",150,1,160,2019-06-09,1.33,4,188
5295,"Beautiful 1br on upper west side",7702,Lena,MANHATTAN,"Upper west side",40.803160,-73.965450,"Entire home/apt",135,5,53,2019-06-22,0.43,1,6
5441,"Central manhattan/near broadway",7989,Kate,MANHATTAN,"Hell's kitchen",40.760760,-73.988670,"Private room",85,2,188,2019-06-23,1.50,1,39
